date,product_id,price,units_sold,holiday,competitor_price,promotion,stock_level,store_location,season
2024-12-18,1001,38.200849463327025,51,1,41.17651165759788,1,468,New York,Winter
2024-12-05,1001,37.94723099856265,75,0,42.585332290846836,0,349,New York,Winter
2024-12-11,1001,40.07285352092292,22,0,35.10836693782251,0,79,New York,Winter
2024-08-18,1001,39.22068972181996,47,0,42.123412259577165,0,424,New York,Summer
2024-01-17,1001,37.82565005817317,82,1,36.06302410872709,1,232,New York,Winter
2024-12-11,1001,39.33720056328906,48,1,38.581225582304285,0,332,New York,Winter
2024-02-14,1001,37.73540408633988,46,0,35.17567868985234,1,324,New York,Winter
2024-12-30,1001,38.16890871532773,69,0,36.99053344106579,1,248,New York,Winter
2024-08-30,1001,39.37386712571321,50,0,37.75247822996688,0,287,New York,Summer
2024-01-16,1001,37.843205666645645,77,0,38.21270365622095,0,462,New York,Winter
2024-03-31,1001,37.867634253839306,52,1,37.5736281142562,0,410,Los Angeles,Spring
2024-10-12,1001,37.72228238804766,42,0,43.535281252866014,0,404,Los Angeles,Fall
2024-03-28,1001,38.71919970054672,33,1,43.363745450188496,1,110,Los Angeles,Spring
2024-05-26,1001,39.75684805412634,43,0,34.78833174713961,0,209,Los Angeles,Spring
2024-04-10,1001,37.68945980667228,15,0,39.15790483953939,0,103,Los Angeles,Spring
2024-02-22,1001,40.82940589297445,89,0,41.511154336559855,0,438,Los Angeles,Winter
2024-12-29,1001,39.68977577901153,93,0,44.148325093692286,0,184,Los Angeles,Winter
2024-02-03,1001,38.15022424245604,42,0,39.92619447388114,0,359,Los Angeles,Winter
2024-01-22,1001,39.013961698034876,69,1,39.994970696170924,1,367,Los Angeles,Winter
2024-06-08,1001,37.19571647590599,98,1,42.06425398203532,1,452,Los Angeles,Summer
2024-11-10,1001,38.595847368818696,60,0,37.68604447431741,0,409,Chicago,Fall
2024-05-08,1001,41.00154859492513,24,0,35.98481673476569,0,98,Chicago,Spring
2024-07-16,1001,40.33285699357409,50,0,39.15810072018485,1,155,Chicago,Summer
2024-05-26,1001,38.64970159231809,27,0,38.11425421594247,0,317,Chicago,Spring
2024-10-13,1001,38.70425721328553,36,0,34.31340755422322,1,203,Chicago,Fall
2024-03-18,1001,40.83660717061063,90,0,39.42825817791544,1,106,Chicago,Spring
2024-02-18,1001,39.98957592962173,66,0,34.61362684708407,1,264,Chicago,Winter
2024-08-08,1001,37.58704779919972,61,1,41.409212914795326,0,303,Chicago,Summer
2024-06-02,1001,40.03916566493109,17,0,43.54939020181029,1,114,Chicago,Summer
2024-02-27,1001,38.935558098256905,49,0,41.16429155579625,0,446,Chicago,Winter
2024-11-10,1001,37.26426910440566,24,1,34.21963565036594,1,283,Houston,Fall
2024-12-09,1001,39.93945536659813,17,0,38.37628588104968,1,157,Houston,Winter
2024-11-19,1001,37.559764659839246,36,0,41.0143787510967,1,461,Houston,Fall
2024-06-02,1001,39.963368058293,60,0,39.56753548066487,1,379,Houston,Summer
2024-07-26,1001,37.91487159427416,73,0,35.33469513701762,0,357,Houston,Summer
2024-03-29,1001,40.953113641260565,71,1,36.763594517433425,1,187,Houston,Spring
2024-02-01,1001,39.660145787506345,94,1,42.394975542256944,0,478,Houston,Winter
2024-11-19,1001,40.160972564302845,60,0,41.4523083707408,0,281,Houston,Fall
2024-12-02,1001,39.55415812645598,80,0,40.76024576506656,1,360,Houston,Winter
2024-03-05,1001,38.755095833212444,86,0,36.92120960248567,1,63,Houston,Spring
2024-02-12,1001,40.92963406376829,33,0,37.682223371902886,0,417,Phoenix,Winter
2024-10-19,1001,37.791752532887216,51,0,41.22673841227869,1,436,Phoenix,Fall
2024-06-23,1001,38.217780755074116,29,1,43.583239854231095,0,204,Phoenix,Summer
2024-05-26,1001,39.908423953913584,60,0,36.35046036357677,0,364,Phoenix,Spring
2024-09-01,1001,38.29000188390608,22,0,34.40849778890222,1,161,Phoenix,Fall
2024-07-28,1001,39.80093906355074,25,0,41.778457453994235,1,389,Phoenix,Summer
2024-01-20,1001,38.797843024426896,49,0,35.2646623108772,1,65,Phoenix,Winter
2024-01-28,1001,37.34884409876738,89,0,38.95734331262367,0,126,Phoenix,Winter
2024-09-12,1001,38.695654130501445,84,0,35.8108174758803,1,403,Phoenix,Fall
2024-02-01,1001,37.47018452153964,29,0,41.19120753895608,0,132,Phoenix,Winter
2024-07-02,1002,11.329806027840112,55,0,13.716570276040112,1,268,New York,Summer
2024-12-09,1002,14.855159617815692,78,0,11.62955790429867,0,127,New York,Winter
2024-12-08,1002,14.607254114362776,55,0,14.921025513424812,1,57,New York,Winter
2024-06-01,1002,13.044247392916972,88,0,8.314032393697765,0,107,New York,Summer
2024-05-05,1002,12.268305789783401,70,0,13.404195239485835,1,393,New York,Spring
2024-03-20,1002,11.349146433085084,66,0,17.795787888918092,1,470,New York,Spring
2024-02-24,1002,14.233029453493867,47,0,9.244353696960918,0,314,New York,Winter
2024-03-04,1002,12.90144760485128,58,0,10.671560455735763,0,327,New York,Spring
2024-12-06,1002,12.486900939093136,84,1,12.215802736140798,0,229,New York,Winter
2024-09-20,1002,13.56352970374712,56,0,11.93036147590843,0,455,New York,Fall
2024-11-16,1002,12.13660470644391,44,0,17.37166874982966,0,263,Los Angeles,Fall
2024-12-08,1002,12.074655589505888,52,0,16.98867085396896,1,95,Los Angeles,Winter
2024-01-03,1002,12.474711753993034,98,1,13.119230605630847,0,499,Los Angeles,Winter
2024-03-30,1002,14.922235011371571,56,1,10.638522269373402,0,284,Los Angeles,Spring
2024-06-09,1002,13.668137759189664,21,0,14.283691830573495,1,328,Los Angeles,Summer
2024-11-26,1002,11.491384130769314,36,0,8.32438804076585,0,348,Los Angeles,Fall
2024-11-08,1002,14.41138637528106,39,0,11.404818885547236,1,485,Los Angeles,Fall
2024-01-07,1002,12.930011807743863,13,1,11.271264196989392,1,324,Los Angeles,Winter
2024-07-03,1002,13.853888535644902,76,0,10.11899770397931,1,416,Los Angeles,Summer
2024-01-19,1002,13.739326878306542,21,0,17.442719657182238,0,152,Los Angeles,Winter
2024-11-11,1002,11.893356289103101,78,0,17.177145212800003,1,308,Chicago,Fall
2024-07-27,1002,11.662034784463511,17,0,8.333664937161771,0,450,Chicago,Summer
2024-03-14,1002,15.140663714905251,66,1,11.397512163881789,0,422,Chicago,Spring
2024-12-20,1002,14.480528244392106,15,0,12.574717981140356,0,126,Chicago,Winter
2024-08-20,1002,13.118199352023085,36,0,15.175421709941771,0,461,Chicago,Summer
2024-08-07,1002,12.103237931779036,40,0,16.618084934312577,0,255,Chicago,Summer
2024-08-03,1002,14.310378736864717,15,1,11.666272701881095,1,144,Chicago,Summer
2024-10-11,1002,15.154220879489227,68,0,14.779906682909543,0,72,Chicago,Fall
2024-04-09,1002,15.01702672964176,15,0,13.24440366280713,1,187,Chicago,Spring
2024-03-24,1002,13.85430453814973,10,0,14.01171855224004,0,218,Chicago,Spring
2024-07-22,1002,11.780832498253384,47,1,13.695175559948915,0,391,Houston,Summer
2024-04-09,1002,13.95333863241754,69,0,9.614717969839244,0,409,Houston,Spring
2024-02-23,1002,12.64790941058214,38,0,10.366107762556705,0,421,Houston,Winter
2024-07-02,1002,13.370751799882157,65,0,12.730068482838643,0,267,Houston,Summer
2024-05-22,1002,13.367386851565135,74,0,8.846404586158451,0,240,Houston,Spring
2024-05-11,1002,13.681610626195948,39,0,8.494294107687397,0,362,Houston,Spring
2024-07-15,1002,14.304591045331328,68,1,8.939710092103613,0,401,Houston,Summer
2024-01-24,1002,12.667643721499594,24,0,17.644126387109175,0,385,Houston,Winter
2024-12-21,1002,14.323693478339935,78,0,15.952807290388973,1,458,Houston,Winter
2024-07-08,1002,14.113554328504355,79,1,17.646270155471576,0,196,Houston,Summer
2024-07-28,1002,12.745963058500362,51,0,9.261747003169166,0,164,Phoenix,Summer
2024-02-08,1002,13.949413927975472,26,1,9.21556247826332,0,312,Phoenix,Winter
2024-12-08,1002,11.481253125664871,57,0,12.531346935825407,0,291,Phoenix,Winter
2024-06-15,1002,11.754219785765905,35,0,13.651942689459778,0,435,Phoenix,Summer
2024-10-06,1002,14.23738227826165,69,1,12.87282996786087,1,361,Phoenix,Fall
2024-06-28,1002,14.633992667751045,92,0,8.710135837755907,0,489,Phoenix,Summer
2024-03-18,1002,13.954202179580518,18,1,15.91534946140309,0,247,Phoenix,Spring
2024-10-23,1002,12.49089202988954,16,0,17.04098430784479,0,456,Phoenix,Fall
2024-05-11,1002,15.09535510120701,82,0,12.972200922732663,0,390,Phoenix,Spring
2024-07-22,1002,11.948974636735953,49,0,9.720692174075966,0,480,Phoenix,Summer
2024-09-11,1003,40.66130616398054,16,0,36.65090265357208,0,164,New York,Fall
2024-07-23,1003,39.76205462178046,68,0,41.498834592643014,1,315,New York,Summer
2024-11-20,1003,40.92043694195312,53,0,41.98852823273964,0,111,New York,Fall
2024-07-20,1003,41.472540782478966,70,0,38.84889643847634,1,136,New York,Summer
2024-11-22,1003,41.87795214652748,81,0,43.01888376163148,0,468,New York,Fall
2024-04-06,1003,39.89074042389179,34,0,42.984790431033055,0,146,New York,Spring
2024-02-24,1003,40.883799920647405,51,0,38.88527717858536,0,447,New York,Winter
2024-06-27,1003,42.198446613720286,64,0,40.022993204056576,1,433,New York,Summer
2024-04-09,1003,42.1007212761167,26,0,45.82450645744059,0,367,New York,Spring
2024-11-09,1003,41.97690898195427,29,1,41.51283946309062,0,410,New York,Fall
2024-09-14,1003,43.16764419776678,26,0,42.429905738441995,0,217,Los Angeles,Fall
2024-11-27,1003,39.840162112842705,35,0,43.08857139250602,1,386,Los Angeles,Fall
2024-03-22,1003,42.476985367821555,17,0,46.17234887059459,1,271,Los Angeles,Spring
2024-10-17,1003,39.92930938884517,73,1,36.78965158975308,0,119,Los Angeles,Fall
2024-03-15,1003,43.38769250532656,99,1,41.04923933971669,0,176,Los Angeles,Spring
2024-04-02,1003,41.436615561393566,90,1,42.28024386712187,0,265,Los Angeles,Spring
2024-06-30,1003,41.92280187786049,27,0,37.07656047093364,1,401,Los Angeles,Summer
2024-09-19,1003,42.01069373326939,60,0,37.57020130365733,0,238,Los Angeles,Fall
2024-12-12,1003,42.471474785564695,40,0,44.09985612684035,0,292,Los Angeles,Winter
2024-09-09,1003,42.935628371452005,85,0,37.33935494157769,1,497,Los Angeles,Fall
2024-08-19,1003,42.89887172917717,63,0,40.83482865140898,0,83,Chicago,Summer
2024-08-06,1003,40.891034119203674,28,0,43.69772239914498,0,245,Chicago,Summer
2024-01-11,1003,40.376216313152106,67,0,40.422809485357455,0,92,Chicago,Winter
2024-09-18,1003,40.48996261245295,14,0,37.16281279462204,1,219,Chicago,Fall
2024-01-18,1003,43.124816149408645,58,0,39.37664438309724,0,56,Chicago,Winter
2024-04-23,1003,40.151042198103966,50,0,42.95858747557843,0,455,Chicago,Spring
2024-03-15,1003,41.91279423539598,38,0,42.22461018712101,0,136,Chicago,Spring
2024-06-09,1003,41.70679665126858,91,0,37.78681128203913,0,277,Chicago,Summer
2024-09-08,1003,40.7742455021208,80,1,42.42417519928356,1,452,Chicago,Fall
2024-01-12,1003,41.02492228010674,69,0,40.63481181970081,0,359,Chicago,Winter
2024-04-23,1003,41.371471707425044,13,0,37.353091858171354,0,97,Houston,Spring
2024-12-22,1003,40.88828928953953,47,0,45.31788935188004,0,275,Houston,Winter
2024-03-09,1003,43.57978369480368,43,0,44.70828052207362,1,354,Houston,Spring
2024-11-14,1003,40.10941462061964,58,0,39.76415219095966,0,227,Houston,Fall
2024-03-08,1003,39.87828789531606,64,0,37.22414024794777,0,292,Houston,Spring
2024-10-21,1003,40.86126910075191,78,0,38.70996481405456,1,214,Houston,Fall
2024-03-28,1003,41.40955472093876,80,0,46.14276844847318,0,241,Houston,Spring
2024-05-31,1003,40.9593008569957,30,0,36.94544567470126,1,431,Houston,Spring
2024-09-14,1003,41.23580743305168,56,0,45.45303131180958,0,465,Houston,Fall
2024-01-12,1003,41.76194813786268,91,1,43.43596306887757,0,248,Houston,Winter
2024-11-18,1003,39.955876308066415,32,0,44.23626504775929,1,122,Phoenix,Fall
2024-02-12,1003,41.377817792166866,17,0,42.94794077406068,1,441,Phoenix,Winter
2024-11-14,1003,42.18647625766307,27,1,45.98517087785894,0,265,Phoenix,Fall
2024-09-02,1003,40.94536447011581,88,0,43.85749165536688,0,229,Phoenix,Fall
2024-09-08,1003,41.82888631155107,22,0,46.10681944412151,0,212,Phoenix,Fall
2024-05-01,1003,41.7299304039279,24,0,40.063458717736545,0,407,Phoenix,Spring
2024-11-06,1003,41.74659823041961,72,0,42.0189816025386,1,339,Phoenix,Fall
2024-08-10,1003,40.39311914990717,76,0,39.33447058755126,1,151,Phoenix,Summer
2024-01-27,1003,42.056550279447514,82,1,38.72154615302925,1,489,Phoenix,Winter
2024-07-06,1003,43.01891545062435,72,0,43.95827654192855,0,484,Phoenix,Summer
2024-09-22,1004,46.60568559211109,17,1,42.41570261347087,0,368,New York,Fall
2024-06-20,1004,45.69251946028178,91,0,48.45322408623994,0,229,New York,Summer
2024-10-02,1004,45.95881228670191,95,1,49.28462228089625,0,198,New York,Fall
2024-04-01,1004,46.686728159100895,73,0,50.902203032725886,1,267,New York,Spring
2024-11-03,1004,45.39683553569662,67,0,46.737042031476335,0,183,New York,Fall
2024-11-14,1004,45.694015248853084,14,0,44.76918306759141,1,357,New York,Fall
2024-05-03,1004,46.62742152630979,56,1,41.79282180803055,1,403,New York,Spring
2024-03-09,1004,46.66623072280991,14,0,42.196183803597705,1,211,New York,Spring
2024-03-14,1004,46.99667506852682,22,1,44.049687737080355,0,256,New York,Spring
2024-06-23,1004,44.77618568275369,93,0,45.73422450320208,0,454,New York,Summer
2024-07-13,1004,45.728018475526795,42,0,47.39386788074896,0,267,Los Angeles,Summer
2024-01-25,1004,46.84206819804061,86,0,42.72084962978167,0,353,Los Angeles,Winter
2024-11-04,1004,48.5596089857857,41,0,41.94979951234025,0,209,Los Angeles,Fall
2024-07-13,1004,48.30860377972425,71,1,49.77684574733071,0,370,Los Angeles,Summer
2024-03-24,1004,47.6229207935872,20,0,44.83721684496456,0,341,Los Angeles,Spring
2024-06-06,1004,44.5895005088988,85,1,44.242556832967225,0,404,Los Angeles,Summer
2024-04-28,1004,46.2978975515777,96,0,51.115691322972495,1,188,Los Angeles,Spring
2024-03-09,1004,46.96372248163507,82,0,46.83871516195408,1,395,Los Angeles,Spring
2024-04-15,1004,46.603274510828705,11,0,42.384020646836895,0,59,Los Angeles,Spring
2024-10-28,1004,46.18627625236716,36,0,47.673940833341106,0,378,Los Angeles,Fall
2024-10-12,1004,48.294760817951335,84,0,41.739364623939814,0,378,Chicago,Fall
2024-02-24,1004,46.35970855654216,54,0,44.24292903043188,0,112,Chicago,Winter
2024-12-20,1004,45.935276423537026,43,0,42.96395417052559,0,478,Chicago,Winter
2024-10-25,1004,48.17222052891626,52,1,51.33121037421499,0,453,Chicago,Fall
2024-01-04,1004,48.025163534282626,38,0,44.416708908969554,0,399,Chicago,Winter
2024-06-03,1004,46.82225475110284,39,0,43.42230035796766,0,91,Chicago,Summer
2024-03-22,1004,46.54656407505196,95,0,49.67694182649514,0,153,Chicago,Spring
2024-08-07,1004,48.16366436599474,96,1,49.605913617557206,0,283,Chicago,Summer
2024-08-10,1004,46.86614125594372,83,1,47.045279558391925,1,67,Chicago,Summer
2024-05-10,1004,46.36576839050117,82,1,42.00383878476525,0,382,Chicago,Spring
2024-03-24,1004,46.17265036890987,16,1,41.84466415941392,0,349,Houston,Spring
2024-10-15,1004,47.9942793340303,97,0,43.17391290436921,1,428,Houston,Fall
2024-04-12,1004,47.39074047942478,72,0,44.4596261003771,1,475,Houston,Spring
2024-11-14,1004,48.54214448527556,89,1,42.48475121864499,0,53,Houston,Fall
2024-06-27,1004,48.03633881740668,32,0,44.73448281213679,0,460,Houston,Summer
2024-08-22,1004,48.453313257575864,58,0,46.43534083580918,0,380,Houston,Summer
2024-01-15,1004,47.505963799097096,55,0,47.20316852283307,1,140,Houston,Winter
2024-11-23,1004,48.502571761528316,36,0,44.32498868463752,0,466,Houston,Fall
2024-08-13,1004,46.12069775270729,19,1,47.788226000754484,1,283,Houston,Summer
2024-11-27,1004,45.83622454797248,47,0,46.92553096585382,1,167,Houston,Fall
2024-08-08,1004,46.575796156881786,27,0,44.83825393851317,0,443,Phoenix,Summer
2024-07-07,1004,44.685438063359314,67,0,49.16176083752932,0,227,Phoenix,Summer
2024-11-21,1004,47.43487829671527,90,1,43.61204565675747,0,290,Phoenix,Fall
2024-09-01,1004,46.59225360664741,28,0,51.50582227982022,0,85,Phoenix,Fall
2024-05-14,1004,45.82179119799482,39,0,48.672149476407455,1,393,Phoenix,Spring
2024-05-12,1004,46.35024737751815,44,0,49.08817102668542,1,381,Phoenix,Spring
2024-01-07,1004,48.33482061870073,51,1,49.479365811928226,0,331,Phoenix,Winter
2024-05-08,1004,47.72895538467449,19,1,49.20318291231835,0,171,Phoenix,Spring
2024-03-12,1004,45.17101945624424,46,0,44.850712491552656,0,61,Phoenix,Spring
2024-05-25,1004,46.207214767654705,43,0,42.79892636622473,0,366,Phoenix,Spring
2024-11-13,1005,48.499566503470255,21,0,47.24744046523515,1,359,New York,Fall
2024-04-03,1005,48.36550217902635,85,0,49.51448094291192,0,370,New York,Spring
2024-04-17,1005,46.19535115277451,38,0,46.39823882790162,0,409,New York,Spring
